inputobjs_input_id,inputobjs_input_ra,inputobjs_input_dec,inputobjs_dist,catalogue_obsid,catalogue_obsdate,catalogue_lmjd,catalogue_mjd,catalogue_planid,catalogue_spid,catalogue_fiberid,catalogue_class,catalogue_subclass,catalogue_z,catalogue_mag1,catalogue_mag2,catalogue_mag3,catalogue_mag4,catalogue_mag5,catalogue_ra,catalogue_dec,stellar_teff,stellar_logg,stellar_feh,stellar_rv
115,235.677531,0.585050,0.0139094674649678594,51610175,2012-05-17,56065,56064,F5606503,10,175,STAR,A7III,-0.0003965400,16.30,15.06,14.84,14.78,14.79,235.6775272000,0.5850507000,,,,
140,223.226058,-0.807256,0.0183547185089074881,42413097,2012-02-18,55976,55975,F5597606,13,97,STAR,M0,0.0001799900,21.93,17.90,16.32,15.59,15.17,223.2260630000,-0.8072570000,,,,
721,145.593982,-0.385594,0.0227683475384545669,41903067,2012-02-16,55974,55973,F5597403,3,67,Unknown,Non,-9999.0000000000,19.76,19.68,19.68,19.60,19.67,145.5939800000,-0.3856000000,,,,
1325,186.111177,0.008869,0.287932490551013165,449601037,2016-04-03,57482,57481,HD122600N020231B02,1,37,STAR,F5,0.0007603300,16.83,16.52,16.37,99.00,99.00,186.1112310000,0.0088100000,,,,
33,123.960757,45.654079,0.0714525858647995366,401608217,2016-01-06,57394,57393,HD081205N465629M01,8,217,Unknown,Non,-9999.0000000000,17.79,17.19,16.91,99.00,99.00,123.9607290000,45.6540823000,,,,
1369,154.453760,-0.523492,0.0576271794495790343,319609107,2015-02-16,57070,57069,HD101607S013552M01,9,107,QSO,Non,2.2900000000,19.28,99.00,99.00,99.00,99.00,154.4537500000,-0.5234795000,,,,
854,180.543956,-1.003931,0.0511376621337586088,200602131,2013-12-29,56656,56655,HD120800N003716M01,2,131,STAR,K1,0.0001663500,17.94,17.44,17.29,99.00,99.00,180.5439478000,-1.0039194000,,,,
638,153.496122,-0.081581,0.000509116676160887584,315416102,2015-02-08,57062,57061,HD101607S013552B01,16,102,GALAXY,Non,0.0904195000,18.19,16.07,15.08,14.62,14.26,153.4961219000,-0.0815811000,,,,
179,155.430437,1.241211,0.000804946745875215067,229910007,2014-03-25,56742,56741,HD102942N012928B01,10,7,Unknown,Non,-9999.0000000000,18.51,17.10,16.31,15.80,15.54,155.4304369000,1.2412112000,,,,
347,159.059542,-0.159019,0.000359999992154296986,229907095,2014-03-25,56742,56741,HD102942N012928B01,7,95,GALAXY,Non,0.0277701000,17.10,15.75,15.02,14.62,14.29,159.0595420000,-0.1590191000,,,,
206,245.670003,0.790872,0.119471797273801958,137910157,2013-03-24,56376,56375,HD162834N013512M01,10,157,STAR,G7,0.0000841500,18.69,17.30,16.71,16.47,16.39,245.6700300000,0.7908913000,,,,
1195,58.427824,0.932018,0.000720000000418191243,382413174,2015-11-09,57336,57335,EG034838N001340M01,13,174,GALAXY,Non,0.0369046000,20.16,18.12,17.05,16.51,16.10,58.4278240000,0.9320182000,,,,
936,195.459133,0.099871,0.121082614965499866,144103190,2013-04-12,56395,56394,HD130444N001742F01,3,190,GALAXY,Non,0.1267220000,20.28,19.57,19.25,18.90,19.02,195.4591300000,0.0998375000,,,,
486,194.032766,0.035496,0.0686987069145620771,144110132,2013-04-12,56395,56394,HD130444N001742F01,10,132,QSO,Non,0.6511540000,19.14,18.75,18.76,18.71,18.79,194.0327500000,0.0354856000,,,,
16,235.439295,52.479638,0.00185264458579827368,426707245,2016-02-19,57438,57437,HD153557N543750B02,7,245,GALAXY,Non,0.0375946000,19.08,17.49,16.75,16.40,16.15,235.4392948000,52.4796375000,,,,
835,244.330869,-0.081993,0.00101823322802760928,451412044,2016-04-08,57487,57486,HD161245S014318M01,12,44,Unknown,Non,-9999.0000000000,19.45,17.96,17.18,16.79,16.52,244.3308692000,-0.0819928000,,,,
13,163.864576,-0.471311,0.0334640409162489175,438210217,2016-03-11,57459,57458,HD110103N000249M01,10,217,QSO,Non,1.3569200000,19.49,99.00,99.00,99.00,99.00,163.8645700000,-0.4713039000,,,,
51,184.314453,0.162491,0.00152734749618167092,200606143,2013-12-29,56656,56655,HD120800N003716M01,6,143,STAR,M2,0.0000410300,21.47,18.94,17.49,16.38,15.80,184.3144527000,0.1624913000,,,,
428,164.577519,-1.028945,0.00148409273372628048,438205226,2016-03-11,57459,57458,HD110103N000249M01,5,226,GALAXY,Non,0.0968630000,19.26,18.13,17.58,17.20,16.95,164.5775194000,-1.0289451000,,,,
40,187.951794,0.171168,0.00101823147969695152,231511178,2014-04-01,56749,56748,HD123204S014620M01,11,178,Unknown,Non,-9999.0000000000,20.41,18.48,17.53,17.10,16.80,187.9517942000,0.1711678000,,,,
880,121.662121,44.892479,0.00148562826931038488,401602101,2016-01-06,57394,57393,HD081205N465629M01,2,101,GALAXY,Non,0.2184700000,21.13,19.17,17.70,17.15,16.79,121.6621206000,44.8924793000,,,,
